,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
147,AOD,Aberdeen Total Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,899620000,125.97,8.44,-0.24%,"163,889"
150,AON,Aon plc,Financial,Insurance Brokers,United Kingdom,41270000000,37.12,172.00,-0.46%,"730,990"
152,AOS,A. O. Smith Corporation,Industrial Goods,Industrial Electrical Equipment,USA,8980000000,20.86,53.84,-2.50%,"1,021,129"
153,AP,Ampco-Pittsburgh Corporation,Industrial Goods,Diversified Machinery,USA,39640000,-,3.22,-1.53%,"5,286"
154,APA,Apache Corporation,Basic Materials,Independent Oil & Gas,USA,13220000000,44.38,34.88,-1.91%,"2,700,357"
155,APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA,2000000000,9.49,26.75,-0.56%,"430,475"
156,APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,22210000000,33.10,46.17,-2.16%,"4,364,503"
157,APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals - Major Diversified,USA,42280000000,25.56,192.28,-0.39%,"600,109"
158,APF,"Morgan Stanley Asia-Pacific Fund, Inc.",Financial,Closed-End Fund - Foreign,USA,220320000,-,16.78,0.12%,"89,639"
159,APH,Amphenol Corporation,Technology,Diversified Electronics,USA,30400000000,24.52,101.43,-1.32%,"798,526"
160,APHA,Aphria Inc.,Healthcare,Drug Manufacturers - Other,Canada,2420000000,32.34,9.67,-3.30%,"2,973,306"
161,APHB,AmpliPhi Biosciences Corporation,Healthcare,Biotechnology,USA,9810000,-,0.29,0.76%,"264,614"
162,APLE,"Apple Hospitality REIT, Inc.",Financial,REIT - Hotel/Motel,USA,3650000000,18.28,16.38,-2.03%,"1,465,576"
163,APO,"Apollo Global Management, LLC",Financial,Diversified Investments,USA,5650000000,-,28.12,-1.40%,"570,321"
164,APRN,"Blue Apron Holdings, Inc.",Services,"Specialty Retail, Other",USA,211250000,-,1.15,0.88%,"4,688,549"
165,APT,"Alpha Pro Tech, Ltd.",Industrial Goods,General Building Materials,Canada,48280000,13.55,3.55,-1.39%,"11,427"
166,APTS,"Preferred Apartment Communities, Inc.",Financial,REIT - Residential,USA,618490000,-,14.80,-2.37%,"205,094"
167,APTV,Aptiv PLC,Consumer Goods,Auto Parts,Ireland,22980000000,21.16,87.51,-1.11%,"1,503,328"
168,APU,"AmeriGas Partners, L.P.",Utilities,Gas Utilities,USA,3260000000,39.23,35.35,0.23%,"790,260"
169,APY,Apergy Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,3130000000,33.40,40.48,-0.39%,"419,912"
170,AQ,Aquantia Corp.,Services,Business Services,USA,322780000,-,9.10,-0.33%,"556,680"
171,AQN,Algonquin Power & Utilities Corp.,Utilities,Diversified Utilities,Canada,5420000000,75.20,11.43,0.26%,"352,076"
172,AQUA,Evoqua Water Technologies Corp.,Industrial Goods,Pollution & Treatment Controls,USA,1430000000,-,12.77,-5.62%,"618,706"
173,AR,Antero Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,2470000000,-,8.55,-4.68%,"5,429,321"
174,ARA,"American Renal Associates Holdings, Inc.",Healthcare,Medical Laboratories & Research,USA,193820000,-,5.96,-0.67%,"260,470"
175,ARC,"ARC Document Solutions, Inc.",Services,Business Services,USA,106740000,11.83,2.33,2.19%,"388,052"
176,ARCH,"Arch Coal, Inc.",Basic Materials,Industrial Metals & Minerals,USA,1630000000,5.78,88.65,-1.99%,"147,373"
177,ARCO,Arcos Dorados Holdings Inc.,Services,Restaurants,Argentina,1470000000,40.57,7.10,-0.28%,"341,676"
178,ARD,Ardagh Group S.A.,Consumer Goods,Packaging & Containers,Luxembourg,3260000000,-,13.75,-0.58%,"25,916"
180,ARE,"Alexandria Real Estate Equities, Inc.",Financial,REIT - Office,USA,16040000000,41.11,143.12,-0.36%,"347,384"
181,ARES,Ares Management Corporation,Financial,Asset Management,USA,5280000000,81.73,23.62,-0.76%,"503,621"
182,ARGO,"Argo Group International Holdings, Ltd.",Financial,Property & Casualty Insurance,Bermuda,2360000000,40.07,70.48,0.53%,"135,484"
184,ARI,"Apollo Commercial Real Estate Finance, Inc.",Financial,REIT - Diversified,USA,2450000000,12.51,18.31,-0.81%,"989,722"
191,ARL,"American Realty Investors, Inc.",Financial,Property Management,USA,192600000,1.12,12.06,-0.41%,446
192,ARLO,"Arlo Technologies, Inc.",Technology,Security Software & Services,USA,294410000,-,4.08,-1.92%,"689,730"
193,ARMK,Aramark,Services,Specialty Eateries,USA,7420000000,15.75,30.05,-3.22%,"3,028,774"
194,ARNC,Arconic Inc.,Basic Materials,Aluminum,USA,8950000000,14.40,20.00,-1.28%,"4,124,896"
195,AROC,"Archrock, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1300000000,75.60,10.13,-1.94%,"499,962"
196,ARR,"ARMOUR Residential REIT, Inc.",Financial,REIT - Residential,USA,1180000000,-,19.85,-0.15%,"620,994"
197,ARW,"Arrow Electronics, Inc.",Services,Electronics Wholesale,USA,7090000000,10.52,81.92,-1.37%,"326,762"
198,ASA,ASA Gold and Precious Metals Limited,Financial,Asset Management,USA,200040000,-,10.37,0.48%,"33,018"
199,ASB,Associated Banc-Corp,Financial,Regional - Midwest Banks,USA,3610000000,12.19,21.96,-1.66%,"704,932"
200,ASC,Ardmore Shipping Corporation,Services,Shipping,Bermuda,199560000,-,6.02,-0.82%,"225,852"
